<DATE> <TIME> <OPEN> <HIGH> <LOW> <CLOSE> <VOL>
11/08/01 000000 19.6300000 19.8960000 18.5700000 18.7000000 5828400
11/09/01 000000 18.6000000 19.2500000 18.5500000 18.7100000 2299400
11/12/01 000000 18.6600000 19.1700000 17.9600000 18.7300000 3489700
11/13/01 000000 19.0800000 19.3900000 18.7100000 19.3600000 3021900
11/14/01 000000 19.5900000 19.9000000 19.1500000 19.6100000 3769800
11/15/01 000000 19.4500000 19.9000000 19.2300000 19.4600000 3559200
11/16/01 000000 19.2790000 19.2900000 18.4000000 18.9600000 3706100
11/19/01 000000 19.0000000 20.0500000 18.9600000 20.0000000 5069000
11/20/01 000000 19.8200000 20.2000000 19.5000000 19.5400000 3971800
11/21/01 000000 19.6100000 19.8000000 19.2600000 19.6800000 3357300
11/23/01 000000 19.7100000 19.9500000 19.5700000 19.8400000 1025400
11/26/01 000000 19.9400000 21.5500000 19.8800000 21.3700000 7259200
11/27/01 000000 21.2000000 21.5200000 20.5098000 21.0000000 4487600
11/28/01 000000 20.8500000 21.2100000 20.4100000 20.5300000 4228700
11/29/01 000000 20.6000000 20.7000000 20.1900000 20.3800000 3302200
11/30/01 000000 20.4700000 21.4400000 20.2500000 21.3000000 4899000
12/03/01 000000 21.0600000 21.2800000 20.6000000 21.0600000 3051700
12/04/01 000000 21.0500000 22.5600000 20.7200000 22.4100000 6410000
12/05/01 000000 22.3600000 24.0000000 22.1700000 23.7500000 9053700
12/06/01 000000 23.4800000 23.5000000 22.1400000 22.7900000 5776800
12/07/01 000000 22.4600000 22.7100000 22.0000000 22.5400000 3112000
12/10/01 000000 22.2900000 22.9900000 22.2300000 22.5400000 2712800
12/11/01 000000 22.6700000 22.8500000 21.6600000 21.7800000 3430500
12/12/01 000000 21.8700000 21.9200000 21.2500000 21.4800000 3003900
12/13/01 000000 21.4900000 21.5500000 20.5000000 20.9900000 2950300
12/14/01 000000 20.7300000 20.8390000 20.0900000 20.3900000 2870200
12/17/01 000000 20.4000000 21.0000000 20.1900000 20.7000000 2839200
12/18/01 000000 20.8900000 21.3300000 20.2200000 21.0100000 3867800
12/19/01 000000 20.5800000 21.6800000 20.4700000 21.5800000 4894900
